        MATCHUP        MATCHUP.1  early_rho  late_rho
0       Arizona     @ Pittsburgh   1.144038  1.160947
1     Milwaukee      @ Tampa Bay   1.178038  1.200581
2      New York     @ Cincinnati   1.165441  1.186781
3       Chicago   @ Philadelphia   1.208636  1.225351
4       Detroit     @ Washington   1.201756  1.224147
5     Baltimore        @ Toronto   1.199001  1.206289
6     Cleveland       @ New York   1.222010  1.230715
7       Seattle        @ Atlanta   1.139785  1.156187
8      Colorado          @ Texas   1.177104  1.153995
9   Kansas City        @ Chicago   1.204847  1.194878
10      Oakland        @ Houston   1.172087  1.160201
11  Los Angeles      @ St. Louis   1.207049  1.197936
12    Minnesota    @ Los Angeles   1.158521  1.171911
13       Boston      @ San Diego   1.206607  1.213080
14        Miami  @ San Francisco   1.221793  1.231385
30.139811754226685
