,MATCHUP,MATCHUP.1,local,early_rho,late_rho
0,Arizona,@ Pittsburgh,2023-05-19 23:05:32.483289,1.153,1.156
1,Milwaukee,@ Tampa Bay,2023-05-19 23:05:32.483293,1.201,1.202
2,New York,@ Cincinnati,2023-05-19 23:05:32.483294,1.173,1.177
3,Chicago,@ Philadelphia,2023-05-19 19:05:00.000000,1.206,1.225
4,Detroit,@ Washington,2023-05-19 19:05:00.000000,1.203,1.225
5,Baltimore,@ Toronto,2023-05-19 19:07:00.000000,1.199,1.206
6,Cleveland,@ New York,2023-05-19 19:10:00.000000,1.219,1.231
7,Seattle,@ Atlanta,2023-05-19 19:20:00.000000,1.148,1.161
8,Colorado,@ Texas,2023-05-19 19:05:00.000000,1.159,1.144
9,Kansas City,@ Chicago,2023-05-19 19:10:00.000000,1.205,1.195
10,Oakland,@ Houston,2023-05-19 19:10:00.000000,1.172,1.16
11,Los Angeles,@ St. Louis,2023-05-19 19:15:00.000000,1.209,1.201
12,Minnesota,@ Los Angeles,2023-05-19 18:38:00.000000,1.161,1.176
13,Boston,@ San Diego,2023-05-19 18:40:00.000000,1.21,1.215
14,Miami,@ San Francisco,2023-05-19 19:15:00.000000,1.226,1.234
